X,Y,OBJECTID_1,OBJECTID,BLDG_ID,CITY,ZIPCODE,SCH_TYPE,POINT_X,POINT_Y
-71.10478060042885,42.26725865440788,63,67,87,8,11,2,763140.399858,2922660.97093
-71.061729420578,42.301128791038366,64,69,65,4,8,3,774729.490703,2935060.64311
-71.11774060613877,42.28540865691044,65,70,91,9,16,2,759602.913871,2929259.10274
-71.10772060187031,42.286758657746155,66,71,92,9,16,5,762311.9578420001,2929763.3730099997
-71.11594060610987,42.294638658621004,67,72,93,7,15,5,760074.83,2932624.84345
-71.12345116616873,42.242950759657155,68,74,96,6,20,5,758126.000014,2913780.00001
-71.1333206089133,42.25162865099119,69,75,98,6,20,2,755440.046859,2916930.68887
-71.12732060707144,42.25676865106476,70,76,99,6,20,2,757056.266893,2918810.81131
-71.12705060868437,42.27479865509247,71,77,100,9,16,2,757100.630477,2925381.50997
-71.12493060728049,42.283638656671,72,78,101,9,16,6,757660.211213,2928605.45112
-71.12684060809595,42.286458657545964,73,79,102,9,16,2,757138.8746689999,2929630.83493
-71.10349060174734,42.30892866266553,74,80,105,7,15,7,763418.969363,2937847.7589999996
-71.09812020643957,42.313937883276786,75,81,107,10,5,5,764862.999988,2939680.0
-71.10960060443752,42.30600866079933,76,82,108,7,15,3,761771.152625,2936776.03919
-71.10161060258062,42.3165586643393,77,83,109,10,5,2,763914.501299,2940630.6277400004
-71.10583938257344,42.321785327085706,78,84,110,7,15,2,762761.999986,2942530.0
-71.10693577080225,42.32629275723332,79,85,111,7,15,1,762457.929921,2944171.21852
-71.09829060280721,42.333018667196676,80,86,113,10,6,5,764784.166036,2946633.1515200003
-71.10169060333597,42.337898667877994,81,87,115,1,2,0,763856.549491,2948407.20221
-71.09153060016712,42.34145866825515,82,88,116,1,2,3,766597.24495,2949717.52314
-71.09917802116335,42.330588277439375,83,89,118,10,6,3,764548.382701,2945746.345
-71.06215256288617,42.300698325177976,84,90,118,4,8,3,774619.8979999999,2934906.539
-71.09926060332542,42.34343866935011,85,91,119,1,21,7,764504.051412,2950429.15966
-71.10676060602721,42.34794866944594,86,92,120,1,21,7,762468.913618,2952063.2540599997
-71.11421891302389,42.318685476809186,87,93,121,7,15,5,760501.000016,2941390.0
-71.11295060607237,42.318508663764156,88,94,122,7,15,5,760844.3024800001,2941327.12032
-71.13149061100748,42.305588660406904,89,95,124,7,15,2,755850.534732,2936596.64227
-71.13533061097898,42.27776865561274,90,96,126,9,16,2,754855.145099,2926454.13215
-71.14105061295112,42.28122865606998,91,97,127,9,16,2,753301.878441,2927708.44178
-71.15236761800148,42.29266065792342,92,98,128,12,17,5,750222.431046,2931861.7571099997
-71.15613061658374,42.26343865134909,93,99,129,12,17,2,749247.2487090001,2921208.6916900002
-71.16257012574074,42.27188581980128,94,100,130,12,17,5,747492.000004,2924280.00002
-71.17434062400517,42.282268654205886,95,101,131,12,17,3,744291.8934729999,2928051.28111
-71.15837061860869,42.28299865578428,96,102,132,12,17,5,748612.367525,2928334.2088200003
-71.16019062267952,42.34558866728313,97,103,133,2,19,5,748029.00602,2951141.15716
-71.16150062364638,42.35107866840413,98,104,135,2,19,4,747666.93002,2953140.4177099997
-71.16076062369531,42.35212866780904,99,105,136,2,19,4,747865.4371880001,2953523.8541900003
-71.15534859976619,42.34760170348808,100,106,137,2,19,2,749335.000006,2951880.00001
-71.11792785432263,42.265261192397546,101,107,139,6,20,3,759585.4709999999,2921916.7739999997
-71.14549061780922,42.34908866829426,102,108,140,2,19,3,751997.598536,2952432.80174
-71.14051061722546,42.3420386680756,103,109,141,2,19,1,753354.609161,2949869.27556
-71.13770061590884,42.352058669048986,104,110,142,0,18,7,754098.776714,2953523.97847
-71.13770061590884,42.352058669048986,105,111,142,0,18,5,754098.776714,2953523.97847
-71.11791035067431,42.2624191009593,106,112,89,6,20,0,759643.6966810001,2921172.19422
-71.13411061616895,42.360768671267365,107,113,144,0,18,5,755055.555883,2956702.2253900003
-71.1496106142466,42.26075865213715,108,114,145,12,17,5,751016.119559,2920239.2452599998
-71.05976976012546,42.31368761178382,109,115,146,4,10,2,775235.999998,2939640.0
-71.08684032492765,42.28212094476628,110,116,148,4,9,2,767969.9999909999,2928099.99999
-71.08066201680158,42.2965601131686,111,117,149,4,7,5,769615.999992,2933369.99999
-71.08162523570914,42.30681876066501,112,118,150,4,7,3,769337.072736,2937107.1289999997
-71.04274058324233,42.31762866625126,113,119,152,4,10,2,779834.141474,2941100.4128900003
-71.04350058255399,42.318028665529525,114,120,153,4,10,6,779627.818818,2941245.07808
-71.0521512218551,42.33802589334743,115,121,156,11,12,5,777250.0,2948520.00001
-71.13288060806134,42.23389864702128,116,122,998,6,20,5,755586.9786350001,2910470.1729
-71.00504507599945,42.391616179458644,117,123,2,5,13,2,789872.444619,2968119.6819599997
-71.10691069018256,42.325622122989714,118,124,111,7,15,5,762465.838572,2943926.85873
-71.09189059700259,42.27178865474239,119,125,76,8,11,1,766621.396246,2924328.19243
-71.09929060184345,42.314128662932774,120,126,106,10,5,3,764546.119796,2939748.03389
-71.11386744155621,42.30703515331264,121,128,123,7,15,5,760615.274078,2937144.8560200003
-71.11448218532625,42.30720829286413,122,129,123,7,15,3,760448.702561,2937207.19875
-71.07337366277201,42.32192747253831,123,130,30,10,5,2,771541.56295,2942624.04362
-71.10656366480434,42.33393142589264,124,131,114,7,2,3,762545.712954,2946955.3512
-71.11788606569694,42.26322789711886,125,132,89,6,20,3,759599.764602,2921175.94527
-71.05487078538347,42.36591095888185,126,1335,1000,1,1,5,776462.973,2958675.5310000004
-71.09202957055001,42.317660189389244,127,1736,52,10,5,2,766503.829431,2941044.2902900004
-71.03794008198359,42.37156843613758,128,2136,0,5,13,2,781025.956811,2960764.0178099996
-71.06814953601999,42.34876970981879,129,2938,0,1,3,7,772904.812815,2952412.93842
-71.14596105872063,42.350440724681775,130,2946,139,2,19,0,751868.3851020001,2952924.99053
-71.08050441034351,42.32615284709589,131,3346,150,10,5,0,769605.963,2944154.655
