number of clusters,kmeans++ (scikit-learn) inertia,kmeans++ (our implementation) inertia
5.0,2519.79170884024,2519.826060045223
10.0,1521.9262422548954,1510.9057079504264
25.0,817.4296830232086,833.2041864088023
50.0,519.1784696946825,543.6392985861094
