Initialization,Average Inertia,Minimum Inertia,Average Time,Minimum Time,Average Iteration,Minimum Iteration
random,5788610179951.84,5788610179951.84,1.68,1.35,34.15,28.0
k-means++,5895771708319.71,5724390573955.8,1.34,0.63,25.15,10.0
orss,5833118291028.73,5724390573955.8,1.29,0.68,23.9,11.0
coc,5788610179951.84,5788610179951.84,1.51,0.92,30.2,18.0
