number of clusters,kmeans++ (scikit-learn) inertia,kmeans++ (our implementation) inertia
5.0,2519.8260600452236,2519.7917088402414
10.0,1504.9731147163436,1523.4388434693396
25.0,824.1245323443496,848.6785393514773
50.0,522.4971563232805,525.8684982114252
