n_cluster,deterministic,det_iter,k,kmeans++,iter
10,28.662350362056255,5,10,28.995165470494424,4
20,16.247282608695656,5,1,17.29239574314575,4
20,16.247282608695656,5,2,18.283271922521923,6
20,16.247282608695656,5,3,18.070469580127476,7
20,16.247282608695656,5,4,19.382041847041855,6
20,16.247282608695656,5,5,17.36732746201167,10
20,16.247282608695656,5,6,17.489255468216,6
20,16.247282608695656,5,7,16.3957486631016,3
20,16.247282608695656,5,8,17.065364163614174,12
20,16.247282608695656,5,9,15.73556548568391,8
20,16.247282608695656,5,10,17.95766991341992,4
5,75528.58656469134,5,1,97864.73742210324,4
5,75528.58656469134,5,2,82686.02774127269,15
5,75528.58656469134,5,3,82657.05476706795,10
5,75528.58656469134,5,4,75421.38291301331,4
5,75528.58656469134,5,5,82686.02774127269,17
5,75528.58656469134,5,6,75528.58656469134,8
5,75528.58656469134,5,7,75528.58656469134,6
5,75528.58656469134,5,8,79325.58616149583,5
5,75528.58656469134,5,9,75412.59682443159,5
5,75528.58656469134,5,10,75542.77371510214,7
10,39662.63498631745,4,1,39781.347684300985,10
10,39662.63498631745,4,2,42354.92786307895,4
10,39662.63498631745,4,3,38059.88354978354,12
10,39662.63498631745,4,4,39552.94742806214,5
10,39662.63498631745,4,5,44618.76235581413,9
10,39662.63498631745,4,6,43913.158847649785,7
10,39662.63498631745,4,7,39521.921259913724,9
10,39662.63498631745,4,8,44616.725054728646,3
10,39662.63498631745,4,9,38987.98757419052,6
10,39662.63498631745,4,10,42961.76035491198,6
20,19845.595725842784,5,1,20812.954167148633,7
20,19845.595725842784,5,2,21347.153219291034,6
20,19845.595725842784,5,3,21290.441494779734,8
20,19845.595725842784,5,4,21917.948881673874,5
20,19845.595725842784,5,5,20763.502777777783,6
20,19845.595725842784,5,6,23935.805078640566,6
20,19845.595725842784,5,7,22850.529295051354,6
20,19845.595725842784,5,8,20184.54911477412,11
20,19845.595725842784,5,9,21329.473484848484,5
20,19845.595725842784,5,10,22049.772100837763,7
5,19.13206552485643,5,1,21.513114782694913,5
5,19.13206552485643,5,2,19.788946175919236,5
5,19.13206552485643,5,3,19.788946175919236,3
5,19.13206552485643,5,4,19.27728869208414,5
5,19.13206552485643,5,5,19.788946175919236,5
5,19.13206552485643,5,6,19.13206552485643,5
5,19.13206552485643,5,7,19.037714916190396,4
5,19.13206552485643,5,8,18.950088306793077,1
5,19.13206552485643,5,9,19.541386064657015,6
5,19.13206552485643,5,10,19.037714916190396,7
10,8.022312226672646,4,1,9.477352601137484,6
10,8.022312226672646,4,2,7.969804182425388,4
10,8.022312226672646,4,3,9.142865469785725,4
10,8.022312226672646,4,4,8.552532156318392,9
10,8.022312226672646,4,5,9.297953037915454,3
10,8.022312226672646,4,6,10.11365224367448,6
10,8.022312226672646,4,7,8.835810659142135,3
