Initialization,Average Inertia,Minimum Inertia,Average Time,Minimum Time,Average Iteration,Minimum Iteration
random,2106.59,2028.44,0.03,0.01,6.85,2.0
k-means++,2162.48,2028.44,0.03,0.02,5.05,2.0
orss,2143.76,2036.83,0.03,0.02,4.9,2.0
coc,2164.2,2028.44,0.03,0.02,5.75,3.0
