number of clusters,kmeans++ (scikit-learn) inertia,kmeans++ (our implementation) inertia
5.0,17706689.573774982,17711385.61029025
10.0,5761674.929143367,6434641.098051261
25.0,2007444.7098438586,2255902.212313077
50.0,1099395.4420880969,1194727.658029051
