Initialization,Average Inertia,Minimum Inertia,Average Time,Minimum Time,Average Iteration,Minimum Iteration
random,2812654.07,1475549.48,0.08,0.03,10.45,3.0
k-means++,1572564.77,1475549.48,0.07,0.05,7.25,3.0
orss,1547677.65,1475549.48,0.07,0.05,6.7,3.0
coc,1812654.49,1475612.32,0.07,0.04,8.15,4.0
