Initialization,Average Inertia,Minimum Inertia,Average Time,Minimum Time,Average Iteration,Minimum Iteration
random,84038.0,75412.6,0.02,0.01,8.0,3.0
k-means++,82360.19,75399.62,0.02,0.01,6.25,2.0
orss,82455.88,75399.62,0.03,0.02,6.7,3.0
coc,85772.29,75427.71,0.03,0.01,8.4,4.0
