Initialization,Average Inertia,Minimum Inertia,Average Time,Minimum Time,Average Iteration,Minimum Iteration
random,22.8,18.89,0.01,0.01,5.5,3.0
k-means++,20.01,18.89,0.01,0.01,4.5,2.0
orss,19.78,18.89,0.01,0.01,4.35,2.0
coc,21.98,18.91,0.01,0.01,5.05,2.0
