Initialization,Average Inertia,Minimum Inertia,Average Time,Minimum Time,Average Iteration,Minimum Iteration
random,17740103.9,17700010.65,0.52,0.12,36.85,7.0
k-means++,17821421.19,17700010.65,0.32,0.11,20.05,4.0
orss,17980303.16,17699943.72,0.28,0.11,17.2,4.0
coc,17740103.9,17700010.65,0.51,0.2,35.75,13.0
