Initialization,Average Inertia,Minimum Inertia,Average Time,Minimum Time,Average Iteration,Minimum Iteration
random,767.68,541.06,0.04,0.03,5.15,3.0
k-means++,599.9,545.47,0.06,0.05,3.65,2.0
orss,636.81,553.1,0.06,0.06,4.0,3.0
coc,747.26,556.26,0.05,0.03,6.05,2.0
