Initialization,Average Inertia,Minimum Inertia,Average Time,Minimum Time,Average Iteration,Minimum Iteration
random,5788610179951.84,5788610179951.84,1.59,1.36,34.1,29.0
k-means++,5803623336138.7,5724390573955.8,1.45,0.71,29.6,12.0
orss,5898308737598.76,5724390573955.8,0.95,0.57,18.05,9.0
coc,5800982336627.91,5724491382108.89,1.41,0.66,30.05,13.0
