Initialization,Average Inertia,Minimum Inertia,Average Time,Minimum Time,Average Iteration,Minimum Iteration
random,1179535.38,726875.22,0.18,0.11,13.95,7.0
k-means++,796562.49,707943.36,0.17,0.12,8.55,4.0
orss,783434.35,708148.86,0.19,0.12,9.85,4.0
coc,836074.29,714810.01,0.22,0.12,15.65,7.0
