Initialization,Average Inertia,Minimum Inertia,Average Time,Minimum Time,Average Iteration,Minimum Iteration
random,2780499617.96,2382345958.39,0.03,0.02,7.85,3.0
k-means++,2574515408.9,2346464028.7,0.04,0.02,6.1,2.0
orss,2564154859.1,2413558849.09,0.04,0.03,7.05,3.0
coc,2870371762.13,2436964942.43,0.03,0.02,8.75,4.0
