Initialization,Average Inertia,Minimum Inertia,Average Time,Minimum Time,Average Iteration,Minimum Iteration
random,31.57,27.59,0.03,0.02,6.85,4.0
k-means++,29.41,27.29,0.04,0.03,4.75,3.0
orss,30.38,26.84,0.04,0.03,5.8,3.0
coc,34.62,28.35,0.04,0.02,8.2,4.0
