Initialization,Average Inertia,Minimum Inertia,Average Time,Minimum Time,Average Iteration,Minimum Iteration
random,988621.83,916424.19,0.02,0.01,8.95,3.0
k-means++,1005267.67,916424.19,0.02,0.02,5.3,3.0
orss,998784.28,916424.19,0.02,0.02,6.5,3.0
coc,1020125.82,916424.19,0.02,0.01,7.65,3.0
