Initialization,Average Inertia,Minimum Inertia,Average Time,Minimum Time,Average Iteration,Minimum Iteration
random,10.26,7.6,0.02,0.01,7.05,4.0
k-means++,9.24,8.06,0.03,0.02,5.1,3.0
orss,8.78,7.59,0.02,0.02,4.25,2.0
coc,10.57,7.58,0.02,0.01,6.85,3.0
