Initialization,Average Inertia,Minimum Inertia,Average Time,Minimum Time,Average Iteration,Minimum Iteration
random,42389.69,37446.98,0.03,0.02,7.45,3.0
k-means++,40112.88,37617.71,0.05,0.04,6.95,4.0
orss,40586.12,37425.92,0.05,0.03,6.9,3.0
coc,42762.76,38143.41,0.04,0.02,8.85,4.0
