Initialization,Average Inertia,Minimum Inertia,Average Time,Minimum Time,Average Iteration,Minimum Iteration
random,23.62,18.91,0.02,0.01,5.7,4.0
k-means++,20.22,18.89,0.01,0.01,4.2,1.0
orss,20.46,18.89,0.01,0.01,4.7,2.0
coc,20.4,18.89,0.01,0.01,5.5,2.0
