Initialization,Average Inertia,Minimum Inertia,Average Time,Minimum Time,Average Iteration,Minimum Iteration
random,2186.18,2028.44,0.04,0.01,7.1,2.0
k-means++,2222.88,2039.55,0.04,0.02,4.7,2.0
orss,2171.94,2028.44,0.03,0.02,3.5,1.0
coc,2188.5,2028.44,0.03,0.02,5.85,2.0
