Initialization,Average Inertia,Minimum Inertia,Average Time,Minimum Time,Average Iteration,Minimum Iteration
random,6036905058.56,5729423591.21,0.02,0.01,9.95,4.0
k-means++,6071879236.33,5728232615.59,0.02,0.01,7.95,2.0
orss,6152682962.47,5729423591.21,0.03,0.02,8.4,4.0
coc,6122042430.59,5739498515.77,0.03,0.01,11.85,4.0
