Initialization,Average Inertia,Minimum Inertia,Average Time,Minimum Time,Average Iteration,Minimum Iteration
random,5788610179951.84,5788610179951.84,1.91,1.3,35.25,23.0
k-means++,5841017195498.52,5724390573955.8,1.49,0.64,26.5,10.0
orss,5920823727383.38,5724390573955.8,1.36,0.68,22.1,9.0
coc,5788604697505.78,5788500531030.62,1.68,1.23,29.5,22.0
