Initialization,Average Inertia,Minimum Inertia,Average Time,Minimum Time,Average Iteration,Minimum Iteration
random,2717448.59,1500209.99,0.08,0.04,9.45,4.0
k-means++,1687335.04,1475549.48,0.08,0.05,7.2,3.0
orss,1782584.85,1475549.48,0.09,0.05,8.1,3.0
coc,1564391.58,1476556.31,0.09,0.05,9.7,5.0
