Initialization,Average Inertia,Minimum Inertia,Average Time,Minimum Time,Average Iteration,Minimum Iteration
random,84902.83,75399.62,0.04,0.02,7.9,4.0
k-means++,81352.0,75399.62,0.05,0.03,5.65,3.0
orss,81631.34,75399.62,0.05,0.03,8.65,3.0
coc,83759.84,75427.71,0.04,0.02,8.4,3.0
