Initialization,Average Inertia,Minimum Inertia,Average Time,Minimum Time,Average Iteration,Minimum Iteration
random,1010055.91,916424.19,0.03,0.01,9.2,3.0
k-means++,990859.67,916424.19,0.03,0.02,6.25,3.0
orss,1014711.02,916424.19,0.03,0.02,5.95,2.0
coc,1005327.62,916424.19,0.03,0.01,7.95,3.0
